Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,BallCentroidDistanceAtBrimPlane,BallCentroidDistanceMin,DistanceMiss,LateralMiss,LongitudeMiss,BallSpeedMax,BallAltitudeMax,WristSpeedMax,DispatchDistance,DispatchElbowAltitude
1,1,1,Daylight,1,11,Miss,10.482850723920473,10.482850723920473,6.832850723920473,1.8293999999999997,183.0144,5.57278673833522,76.47000000000001,2.1107628714432,147.4873,38.254900000000006
1,1,1,Daylight,2,12,Miss,8.548513522244672,8.099053889189772,4.449053889189773,4.818800000000002,186.96970000000002,5.157152134110065,76.97870000000002,2.0123917894313625,146.9985,41.05839999999999
1,1,1,Daylight,3,13,Miss,10.352429837482589,10.352429837482589,6.7024298374825895,6.154700000000001,191.45059999999998,5.652996706346364,75.86910000000002,2.2741508293188364,147.1515,44.386700000000005
1,1,1,Daylight,4,14,Miss,7.809064165442623,7.809064165442623,4.159064165442624,6.018900000000001,188.6876,5.147831553961505,75.3599,2.018160665706532,142.5552,39.2488
1,1,1,Daylight,5,15,Miss,2.9945403002798323,2.9945403002798323,0.0,2.7352000000000007,189.69559999999998,4.934705846599194,72.254,2.2086866451010625,149.5509,40.07600000000001
1,1,1,Daylight,6,16,Miss,6.608221837226705,6.608221837226705,2.9582218372267057,6.348200000000001,190.29670000000002,5.017404923049069,73.35660000000003,2.2158827215613344,144.3128,38.8284
1,1,1,Daylight,7,17,Hit,4.080096334647028,1.6792274831004825,0.0,12.895300000000002,194.5303,4.9597424703250885,71.75070000000001,2.1487613966670343,149.7855,36.4508
1,1,1,Daylight,8,18,Miss,6.03907610897561,6.03907610897561,2.389076108975611,2.2743,190.0004,5.358193768058726,69.66770000000001,2.2535849874286447,149.93810000000002,37.658399999999986
1,1,1,Daylight,9,19,Hit,4.8933599346461385,1.7621900266429844,0.0,8.1292,190.1361,4.9615004071444595,69.6219,2.201419477056344,150.7165,36.6661
1,1,1,Daylight,10,20,Miss,13.34790155942124,13.34790155942124,9.69790155942124,7.854300000000001,183.80382033898306,5.297201810685449,69.48315000000001,2.287454268315486,134.7298,37.6623
1,2,2,Darkness,1,1,Miss,17.685370745901817,17.685370745901817,14.035370745901819,0.0,191.79049999999998,5.5044963609289494,80.5131,2.526184802845517,157.3577,27.0595
1,2,2,Darkness,2,2,Miss,11.4607479097134,7.3828643499660815,3.732864349966082,21.7376,192.0624,4.881263074236346,74.36629999999998,2.2524861567459236,157.66680000000002,26.806738712065155
1,2,2,Darkness,3,3,Miss,4.96706313428771,4.9574664618129285,1.307466461812929,0.6621999999999995,192.9101,4.823399569449249,76.8256,2.132928705441956,157.2209,35.310369835466176
1,2,2,Darkness,4,4,Miss,12.41593503083839,12.41593503083839,8.765935030838392,0.0,193.0563,5.5190438709479555,77.91680000000001,2.310885241071474,155.79919999999998,29.042500000000004
1,2,2,Darkness,5,5,Miss,12.8134195954866,9.001856889553396,5.351856889553397,0.0,189.4359,4.878873127656661,75.51629999999999,2.277624399100717,156.4624,31.667699999999996
1,2,2,Darkness,6,6,Miss,11.274353883482647,11.274353883482647,7.624353883482647,0.0,191.9433,5.414013153969669,78.7787,2.4318673719801986,157.0448,26.29609999999998
1,2,2,Darkness,7,7,Hit,3.0031411255550378,0.4091056831675624,0.0,0.0,191.0035,4.761017608206202,78.03279999999997,2.392463101895391,156.5571,28.332599999999985
1,2,2,Darkness,8,8,Miss,10.048145432864711,10.048145432864711,6.398145432864712,0.0,191.1283,4.688224482215967,74.49850000000002,2.226183073453987,159.957,26.483599999999996
1,2,2,Darkness,9,9,Miss,10.461936140600358,9.03501090038081,5.38501090038081,5.259400000000002,189.832,5.058757666758279,74.06510000000002,2.303711114374227,154.5528,26.923102264808378
1,2,2,Darkness,10,10,Miss,16.60148447940725,16.60148447940725,12.951484479407252,0.5039000000000007,188.99699999999999,5.128383601711187,75.52019999999997,2.4203938824346114,150.9249,28.633199999999988
1,2,2,Daylight,1,11,Miss,9.432459812795383,9.432459812795383,5.782459812795383,0.0,191.08520000000001,5.462240729596075,73.93519999999998,2.4764605698977484,152.8297,26.85212849740931
1,2,2,Daylight,2,12,Hit,3.7679381881872795,2.392519767616848,0.0,0.0,189.18710000000002,4.844487618360932,73.84450000000001,2.484818063474903,152.43990000000002,26.676234278122237
1,2,2,Daylight,3,13,Miss,8.474109431084786,8.474109431084786,4.8241094310847865,0.0,190.46869999999998,5.4496753253554315,75.62460000000002,2.466787402255185,153.4545,27.4562194898366
1,2,2,Daylight,4,14,Miss,7.486043305378361,5.422588158803869,1.7725881588038694,1.4928999999999997,190.5712,4.964141812596673,72.69550000000001,2.4148269751452243,152.95530000000002,27.875675238095255
1,2,2,Daylight,5,15,Miss,6.721846915097069,5.576796548198626,1.9267965481986264,10.122499999999999,191.4543,4.776180543461631,73.84220000000002,2.1936960110047634,157.7734,28.26957431355183
1,2,2,Daylight,6,16,Miss,7.954960040125911,7.767338752751809,4.1173387527518095,3.8268999999999993,190.3127,5.09642579261221,74.84129999999999,2.434305347709321,156.5207,27.9983
1,2,2,Daylight,7,17,Hit,4.223586483073371,1.145058256159916,0.0,0.0,186.57590000000002,4.7766788233836115,74.52940000000001,2.3614262634303422,154.5788,27.52560000000001
1,2,2,Daylight,8,18,Hit,4.118268166353437,0.815967958929758,0.0,0.0,187.1925,4.888400212075442,70.8228,2.401194333681703,149.5825,25.959246310432576
1,2,2,Daylight,9,19,Miss,9.637477811647607,9.637477811647607,5.987477811647607,1.0151999999999992,190.18280000000001,5.391913403813641,74.8067,2.4612773653522346,151.53910000000002,32.531300000000016
1,2,2,Daylight,10,20,Miss,5.635984905941472,5.635984905941472,1.9859849059414723,0.0,187.5916,4.751193400908801,72.21429999999998,2.3960785872133226,152.0992,25.32740000000001
2,1,3,Darkness,1,1,Miss,18.509042183214117,16.815148033246683,13.165148033246684,15.9073,195.4449,5.144598174014786,82.0898,2.158582053064785,156.87699999999998,46.12730000000002
2,1,3,Darkness,2,2,Miss,16.478035269412448,16.478035269412448,12.82803526941245,0.0,195.82479999999998,5.511845063975592,87.66129999999998,2.4357737875724568,162.1705,43.150099999999995
2,1,3,Darkness,3,3,Miss,10.690641588791582,10.690641588791582,7.0406415887915825,0.0,199.41019999999997,5.047167070946548,81.9459,2.4901548644902274,165.23579999999998,
2,1,3,Darkness,4,4,Miss,10.815215649260084,10.815215649260084,7.165215649260085,0.0,198.64669999999998,5.382431358438458,85.70779999999999,2.3548443910912913,165.65659999999997,
2,1,3,Darkness,5,5,Miss,17.92389220147232,17.92389220147232,14.273892201472322,9.473500000000001,199.7825,5.2790845977072465,81.14329999999998,2.3195211661425454,160.1597,
2,1,3,Darkness,6,6,Hit,4.169541598305505,2.487421832107525,0.0,0.0,195.45249999999996,5.084681935178225,78.25910000000002,2.342284919890142,156.13539999999998,
2,1,3,Darkness,7,7,Miss,9.34829168856439,9.34829168856439,5.69829168856439,5.068600000000001,190.81119999999999,5.141377699128335,74.1731,2.5180601877749966,148.7873,40.490999999999985
2,1,3,Darkness,8,8,Miss,15.048538467239931,14.65504204770495,11.00504204770495,0.0,193.05999999999997,5.139132222202488,77.3947,2.3903059974723386,156.24679999999998,
2,1,3,Darkness,9,9,Miss,11.823248561203473,5.948669445346571,2.2986694453465715,32.8278,193.27169999999998,5.104237735457124,72.696,2.34783501840887,153.12199999999999,42.06999999999999
2,1,3,Darkness,10,10,Miss,5.677799134347764,5.677799134347764,2.027799134347765,0.0,191.21259999999998,4.986760396589699,75.66119999999998,2.541466307050203,152.58459999999997,40.75020000000001
2,1,3,Daylight,1,11,Miss,8.820662781220015,5.454250552550736,1.8042505525507364,0.0,192.4709,4.747939119617989,77.83780000000003,2.4672699269361873,156.5185,41.51150000000003
2,1,3,Daylight,2,12,Miss,4.414622432326463,1.4628315796552784,0.0,0.0,194.7608,4.936589485034738,75.5811,2.3896062162768925,155.6746,
2,1,3,Daylight,3,13,Miss,13.11282667696024,13.11282667696024,9.46282667696024,0.9646000000000017,192.27509999999998,5.518405072698385,77.265,2.5801991417715517,153.162,
2,1,3,Daylight,4,14,Miss,10.702044578957802,10.653536947887307,7.003536947887308,0.0,197.0821,5.210366552862617,77.2609,2.480675028098523,159.5884,
2,1,3,Daylight,5,15,Hit,4.121136128545146,2.9108003474928963,0.0,0.0,194.42459999999997,4.904846733606085,75.27510000000002,2.4397767365435588,157.05509999999998,
2,1,3,Daylight,6,16,Hit,3.8720406118738024,2.1974477946017394,0.0,0.0,193.8335,4.931943734480791,77.0956,2.4261831740111397,159.353,
2,1,3,Daylight,7,17,Miss,7.356098912467128,5.060205344647583,1.4102053446475837,1.0479000000000012,191.71779999999998,4.859464738002439,73.59840000000001,2.5075722541484784,156.9707,
2,1,3,Daylight,8,18,Miss,4.860022467026254,4.860022467026254,1.2100224670262545,0.0,194.63789999999997,4.916164172406968,76.99090000000002,2.477657424051417,157.1873,
2,1,3,Daylight,9,19,Hit,4.706382540763135,0.43369940996689316,0.0,0.0,193.77219999999997,4.8626080168621515,76.63560000000003,2.505581627423061,159.4977,
2,1,3,Daylight,10,20,Miss,10.520235485006987,10.520235485006987,6.8702354850069876,0.8734000000000011,191.77790000000002,5.44352147849909,77.98750000000003,2.483203386625504,153.7826,
2,2,4,Darkness,1,1,Miss,5.2697411492406205,5.2697411492406205,1.619741149240621,5.3258,213.6571,5.049497604805819,87.58299999999998,2.0942730312597884,169.07620000000003,
2,2,4,Darkness,2,2,Hit,4.063974810453423,1.2678165975799263,0.0,0.0,226.01770000000002,5.059161724913417,91.831,1.9054232396440727,177.56150000000002,
2,2,4,Darkness,3,3,Hit,4.728067252059752,0.4128606164530521,0.0,0.0,202.03003533333336,5.015925394004354,95.34339999999999,2.005526782980269,158.9608,
2,2,4,Darkness,4,4,Miss,6.322774470910703,6.322774470910703,2.6727744709107037,0.03765563380281778,201.0028,4.960528686193096,91.90929999999999,1.9790921678220517,169.23670000000004,
2,2,4,Darkness,5,5,Miss,6.2960505596762575,6.2960505596762575,2.646050559676258,0.0,220.57090000000002,5.222746508005051,91.03609999999999,2.063585285581866,184.07230000000004,
2,2,4,Darkness,6,6,Miss,9.905735188768144,9.905735188768144,6.255735188768145,0.0,222.1087,5.533496408978699,92.9182,2.0517126944782036,183.25420000000003,
2,2,4,Darkness,7,7,Miss,7.348519516201911,5.376899874463,1.7268998744630002,0.0,208.57760000000005,4.943404522243349,93.9343,1.9812294823951562,179.36380000000003,
2,2,4,Darkness,8,8,Miss,33.782064183675956,20.233278258848735,16.583278258848736,0.0,221.01130000000003,4.869022319291976,92.08219999999999,2.0592807635809707,189.39520000000005,
2,2,4,Darkness,9,9,Miss,6.488919677419347,6.488919677419347,2.838919677419348,1.2863000000000016,225.76880000000003,4.992415651870545,94.75019999999999,2.0877584395836903,184.77920000000003,
2,2,4,Darkness,10,10,Miss,10.734830210580855,10.734830210580855,7.084830210580855,0.0,209.27897485380117,5.553791137075227,93.64040000000001,2.206261251660859,159.47870000000003,
2,2,4,Daylight,1,11,Hit,2.920203167589525,0.3467019909274137,0.0,0.0,207.54867692307695,5.109453967930222,86.23280000000001,2.178941064173467,163.131,
2,2,4,Daylight,2,12,Miss,21.209742126202286,21.209742126202286,17.559742126202288,0.0,220.14370000000002,5.953147702453233,88.61089999999997,2.2185193319989294,159.3436,
2,2,4,Daylight,3,13,Miss,12.372072726912018,12.372072726912018,8.722072726912018,0.0,219.39759999999998,4.923582617042018,86.7632,2.1804298040550423,187.29810000000003,
2,2,4,Daylight,4,14,Miss,9.498303655916667,9.498303655916667,5.848303655916667,0.0,220.3558120879121,5.60931324136472,86.40080000000002,2.3282863833897425,161.3854,
2,2,4,Daylight,5,15,Miss,5.914628766879629,5.1725394778580664,1.522539477858067,0.0,200.2839755905512,5.049257012398117,84.7589,2.2593781506553783,117.57570000000001,52.8677
