Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
14,1,27,Dark room,1,1,Miss,10.052224829359917
14,1,27,Dark room,2,2,Miss,10.574002780877262
14,1,27,Dark room,3,3,Miss,22.826459221920498
14,1,27,Dark room,4,4,Miss,25.371213193105277
14,1,27,Dark room,5,5,Miss,13.384809969887502
14,1,27,Dark room,6,6,Miss,11.02456485717236
14,1,27,Dark room,7,7,Miss,7.468083847949219
14,1,27,Dark room,8,8,Miss,2.8993400249022168
14,1,27,Dark room,9,9,Miss,12.91947372999379
14,1,27,Dark room,10,10,Miss,3.275107321905646
14,1,27,Lit room,1,11,Miss,14.188676092222266
14,1,27,Lit room,2,12,Miss,6.696281374763193
14,1,27,Lit room,3,13,Miss,8.891786752391244
14,1,27,Lit room,4,14,Miss,12.589738655349455
14,1,27,Lit room,5,15,Miss,9.440917964901486
14,1,27,Lit room,6,16,Miss,3.9540275062270367
14,1,27,Lit room,7,17,Miss,9.953865028218923
14,1,27,Lit room,8,18,Miss,9.951905645151571
14,1,27,Lit room,9,19,Miss,9.808659321742189
14,1,27,Lit room,10,20,Miss,9.500198563188016
14,2,28,Dark room,1,1,Miss,47.60956379814879
14,2,28,Dark room,2,2,Miss,23.59048089802326
14,2,28,Dark room,3,3,Miss,15.43539095779566
14,2,28,Dark room,4,4,Miss,12.874371829335988
14,2,28,Dark room,5,5,Miss,13.994009147488791
14,2,28,Dark room,6,6,Miss,19.78672163901842
14,2,28,Dark room,7,7,Miss,18.66738195918217
14,2,28,Dark room,8,8,Miss,4.981527936286207
14,2,28,Dark room,9,9,Hit,0.93856019519261
14,2,28,Dark room,10,10,Miss,17.558503298686936
14,2,28,Lit room,1,11,Miss,11.648103688583825
14,2,28,Lit room,2,12,Miss,6.945053307930759
14,2,28,Lit room,3,13,Miss,10.418437539765739
14,2,28,Lit room,4,14,Hit,2.425709778600893
14,2,28,Lit room,5,15,Hit,2.7180361826142105
14,2,28,Lit room,6,16,Miss,12.996154905201749
14,2,28,Lit room,7,17,Miss,7.974593569580825
14,2,28,Lit room,8,18,Hit,0.27824108251656504
14,2,28,Lit room,9,19,Miss,16.575231100953005
14,2,28,Lit room,10,20,Hit,3.1834295217579336
