Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
3,2,6,Dark room,2,2,Miss,12.707662263374791
3,2,6,Dark room,3,3,Miss,13.629416174216708
3,2,6,Dark room,4,4,Miss,7.703783103125376
3,2,6,Dark room,5,5,Miss,7.436215379478997
3,2,6,Dark room,6,6,Hit,1.51040016551906
3,2,6,Dark room,7,7,Miss,20.078465160464845
3,2,6,Dark room,8,8,Hit,2.0779901828449594
3,2,6,Dark room,9,9,Hit,2.8815630636860936
3,2,6,Dark room,10,10,Miss,7.59817891405566
3,2,6,Lit room,1,11,Miss,9.448792954129138
3,2,6,Lit room,2,12,Miss,6.472911932044186
3,2,6,Lit room,3,13,Hit,3.985071047045438
3,2,6,Lit room,4,14,Hit,5.464727601628445
3,2,6,Lit room,5,15,Miss,12.097724269051621
3,2,6,Lit room,6,16,Miss,5.616722134839867
3,2,6,Lit room,7,17,Miss,15.05905450982896
3,2,6,Lit room,8,18,Hit,1.4425000866551085
3,2,6,Lit room,9,19,Miss,10.556276055977317
3,2,6,Lit room,10,20,Miss,6.5386884747631155
4,1,7,Dark room,1,1,Miss,16.580582361606016
4,1,7,Dark room,2,2,Hit,4.321331434870511
4,1,7,Dark room,3,3,Miss,8.059403275677413
4,1,7,Dark room,4,4,Miss,10.685310058206078
4,1,7,Dark room,5,5,Miss,8.258837690619673
4,1,7,Dark room,6,6,Hit,1.8006023103395083
4,1,7,Dark room,7,7,Miss,3.6864020236539523
4,1,7,Dark room,8,8,Hit,3.286619437963593
4,1,7,Dark room,9,9,Hit,2.2211093894718505
4,1,7,Dark room,10,10,Miss,20.02206765846125
4,1,7,Lit room,1,11,Miss,14.441607506437775
4,1,7,Lit room,2,12,Miss,15.007288421963505
4,1,7,Lit room,3,13,Miss,8.247311106657724
4,1,7,Lit room,4,14,Hit,4.081436007093571
4,1,7,Lit room,5,15,Miss,16.018076440384466
4,1,7,Lit room,6,16,Miss,16.26258726094958
4,1,7,Lit room,7,17,Miss,9.69215557087277
4,1,7,Lit room,8,18,Miss,27.28130383284492
4,1,7,Lit room,9,19,Miss,13.262101228689207
4,1,7,Lit room,10,20,Miss,9.70574834312119
4,2,8,Dark room,1,1,Miss,15.2882833506578
4,2,8,Dark room,2,2,Hit,2.423771311407094
4,2,8,Dark room,3,3,Miss,4.132784757279284
4,2,8,Dark room,4,4,Miss,26.46717462159495
4,2,8,Dark room,5,5,Miss,21.573056419524786
4,2,8,Dark room,6,6,Miss,13.934923446147822
4,2,8,Dark room,7,7,Hit,3.51755302731885
4,2,8,Dark room,8,8,Miss,19.85907079900769
4,2,8,Dark room,9,9,Miss,6.2843886321582625
4,2,8,Dark room,10,10,Miss,21.492254974292468
4,2,8,Lit room,1,11,Miss,13.550259334049674
4,2,8,Lit room,2,12,Miss,4.336238282198059
4,2,8,Lit room,3,13,Miss,8.040309383350857
4,2,8,Lit room,4,14,Miss,8.364605203474952
4,2,8,Lit room,5,15,Miss,4.311768558260053
4,2,8,Lit room,6,16,Hit,4.386452946288151
4,2,8,Lit room,7,17,Miss,7.288698145759621
4,2,8,Lit room,8,18,Miss,22.97654352965215
4,2,8,Lit room,9,19,Miss,21.835113801855936
4,2,8,Lit room,10,20,Miss,9.991439324241519
5,1,9,Dark room,1,1,Miss,6.196874505748841
5,1,9,Dark room,2,2,Miss,6.363881929294426
5,1,9,Dark room,3,3,Miss,12.55559108126734
5,1,9,Dark room,4,4,Miss,25.172096052971046
5,1,9,Dark room,5,5,Miss,15.406260211031118
5,1,9,Dark room,6,6,Miss,8.718498628777782
5,1,9,Dark room,7,7,Miss,11.682518640259048
5,1,9,Dark room,8,8,Miss,8.530353113441425
5,1,9,Dark room,9,9,Miss,13.90451315796423
5,1,9,Dark room,10,10,Miss,13.782898703103058
5,1,9,Lit room,1,11,Miss,9.105970947131349
5,1,9,Lit room,2,12,Miss,20.42533504498764
5,1,9,Lit room,3,13,Hit,3.062846409795967
5,1,9,Lit room,4,14,Hit,1.2092472534597587
5,1,9,Lit room,5,15,Miss,13.677473911874234
5,1,9,Lit room,6,16,Hit,1.4456772115517333
5,1,9,Lit room,7,17,Miss,5.545087548452224
5,1,9,Lit room,8,18,Hit,4.743726138806921
5,1,9,Lit room,9,19,Miss,7.616970569721268
5,1,9,Lit room,10,20,Hit,1.5979047061699228
5,2,10,Dark room,1,1,Miss,13.48923574187953
5,2,10,Dark room,2,2,Miss,22.198268954357683
5,2,10,Dark room,3,3,Miss,19.078640425879406
5,2,10,Dark room,4,4,Miss,14.119281327673876
5,2,10,Dark room,5,5,Miss,6.867941727329969
5,2,10,Dark room,6,6,Miss,13.586072573411357
5,2,10,Dark room,7,7,Miss,11.169805069919551
5,2,10,Dark room,8,8,Miss,17.269748043616616
5,2,10,Dark room,9,9,Miss,10.474377366220844
5,2,10,Dark room,10,10,Hit,3.925910779679052
5,2,10,Lit room,1,11,Miss,17.285947943922544
5,2,10,Lit room,2,12,Miss,2.6498241451085014
5,2,10,Lit room,3,13,Miss,9.126210631472429
5,2,10,Lit room,4,14,Miss,2.747025855357028
5,2,10,Lit room,5,15,Miss,11.680000761986284
5,2,10,Lit room,6,16,Miss,15.984575105394578
5,2,10,Lit room,7,17,Miss,6.691602093669352
5,2,10,Lit room,8,18,Miss,4.126664164915747
5,2,10,Lit room,9,19,Miss,11.998014499907898
5,2,10,Lit room,10,20,Miss,12.269427789428503
6,1,11,Dark room,1,1,Miss,37.95111528400713
6,1,11,Dark room,2,2,Miss,25.065283131055995
6,1,11,Dark room,3,3,Miss,16.69788228758366
6,1,11,Dark room,4,4,Miss,4.659813328879174
6,1,11,Dark room,5,5,Miss,9.83166401887292
6,1,11,Dark room,6,6,Miss,13.355688100955327
6,1,11,Dark room,7,7,Miss,41.795175191880695
